"Geschlecht";"Groesse";"Gewicht";"jare";"alter"
"303";"W";168;70;31.3;49
"304";"W";170;60.1;26;33
"305";"M";175;75.2;44;52
"306";"M";178;77.1;39.3;43
"307";"M";183;74.1;43.3;43
"308";"M";178;72;48.7;25
"309";"M";178;114;52;60
"310";"M";178;113.1;53.3;51
"311";"M";183;91.3;46;57
"312";"M";171;76.3;42.7;30
"313";"W";163;63.5;26.7;46
"314";"M";169;68.4;36;43
"315";"M";184;72.4;44;39
"316";"M";174;73.8;44;49
"317";"W";160;59.2;26.7;44
"318";"M";183;66.6;37.3;24
"319";"W";161;66;23.3;21
"320";"W";164;65.2;22.7;57
"321";"M";178;113;40.7;35
"322";"W";160;66.3;29.3;24
"323";"M";168;82.3;55.3;47
"324";"M";177;113;41.3;56
"325";"W";170;79.9;31.3;46
"326";"M";194;109;44.7;64
"327";"W";168;72.1;21.3;49
"328";"M";178;106.5;48.7;34
"329";"M";170;70;37.3;39
"330";"M";178;90.4;54.7;35
"331";"W";164;59.1;14.7;47
"332";"M";188;95.3;38.7;33
"333";"M";182;80.5;52.7;22
"334";"M";176;82.5;45.3;56
"335";"M";183;71.1;40.7;39
"336";"M";177;96;36.7;61
"337";"M";185;125.6;62.7;43
"338";"W";168;78.1;26.7;45
"339";"W";157;68.2;20.7;56
"340";"M";185;93.3;64;41
"341";"M";176;114;50.7;45
"342";"W";171;70.3;31.3;42
"343";"M";177;84.1;42.7;29
"344";"M";180;100.2;44.7;64
"345";"M";180;93.3;21.3;43
"346";"M";172;98.5;24.7;60
"347";"M";186;127.8;41.3;51
"348";"M";180;116.5;38.7;51
"349";"M";175;101;45.3;27
"350";"W";168;87.7;6.7;61
"351";"M";175;80.2;45.3;55
"352";"M";176;76.9;40;48
"353";"W";158;87.4;28.7;49
"354";"M";179;94.5;54.7;47
"355";"W";162;86.1;16.7;52
"356";"M";174;73;35.3;21
"357";"M";182;68.2;41.3;20
"358";"M";180;85.2;50;20
"359";"M";167;94.6;38;60
"360";"M";188;90.3;63.3;30
"361";"M";186;101.4;44.7;27
"362";"M";193;108.2;41.3;52
"363";"W";165;56.1;24.7;23
"364";"M";186;80.3;50.7;39
"365";"W";156;80;20.7;62
"366";"W";164;58;18.7;50
"367";"W";172;69.1;26.7;44
"368";"W";171;88.1;13.3;48
"369";"M";182;109.8;47.3;35
"370";"M";182;92.4;40;59
"371";"W";168;77.3;30;56
"372";"W";173;83.7;28;60
"373";"M";180;81.1;40.7;51
"374";"M";170;80.3;32.7;56
"375";"M";176;74.4;48.7;39
"376";"M";181;79.3;35.3;47
"377";"M";160;62.4;36;45
"378";"M";172;86.3;51.3;41
"379";"W";162;73.2;28;49
"380";"W";168;60.2;27.3;49
"381";"W";165;82.4;36.7;41
"382";"W";160;64.6;24.7;61
"383";"W";168;62.5;25.3;50
"384";"M";168;81.2;45.3;42
"385";"M";173;75;30.7;41
"386";"M";178;80.1;36.7;58
"387";"M";191;84.2;52.7;51
"388";"M";185;91.4;44;37
"389";"M";182;75;49.3;45
"390";"W";166;73.6;28.7;46
"391";"M";180;125;45.3;51
"392";"W";173;70;30;28
"393";"M";185;105;55.3;39
"394";"M";186;86.3;55.3;40
"395";"M";182;91.3;46.7;43
"396";"M";168;95;32.7;41
"397";"M";176;80.3;40;58
"398";"M";185;92.2;50;36
"399";"W";168;79.6;29.3;55
"400";"M";189;98;46.7;37
"401";"M";170;60;34.7;24
"402";"M";185;98;45.3;46
"403";"W";168;68.2;28.7;45
"404";"W";160;60.1;26;28
"405";"M";174;71.9;38.7;58
"406";"M";194;110.2;64;25
"407";"M";173;89.8;47.3;57
"408";"M";185;80.3;49.3;39
"409";"M";178;82.3;40;60
"410";"M";174;63.8;40.7;21
"411";"W";174;64.3;33.3;49
"412";"M";182;62.2;36.7;21
"413";"M";180;74.6;40.7;21
